x,y
19.475,0.121
33.771,1.459
76.99,5.598
416.346,-132.994
405.174,-17.146
411.363,-81.614
184.903,16.068
248.819,22.386
134.292,11.187
101.15,7.941
140.409,11.768
-26.807,-3.252
-16.007,-19.335
21.899,-3.415
80.154,-7.564
102.558,9.649
136.308,7.599
144.1,-10.404
127.467,-3.069
35.033,0.007
47.381,-22.818
21.656,5.54
261.671,23.653
329.34,30.316
316.121,28.992
330.807,32.074
385.864,36.173
393.234,36.479
265.592,20.336
253.73,-0.036
246.365,8.558
187.941,2.932
317.542,27.721
326.086,6.679
263.084,25.273
186.261,17.88
274.234,-202.389
272.854,-137.562
267.304,-136.435
266.984,-69.126
261.193,-68.385
259.606,-0.396
